Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
CCDC8,0.367355831730761,0.494696179156835,0.662547737696504,8.344376,7.97702,1,1
SLC1A5,-0.703546688347672,0.494727575835303,0.662547737696504,16.74595,17.449497,1,1
ACTR6,-0.615010541668877,0.494878857064588,0.662695157524505,15.072251,15.687262,1,1
ITGA5,0.66807279880944,0.494961819830726,0.662718124961661,17.853282,17.18521,1,1
CENPK,0.422273890495642,0.494978415516316,0.662718124961661,10.242242,9.819968,1,1
LRG1,0.576744434637424,0.495094789801226,0.662818761375305,13.156415,12.579671,1,1
SCN7A,-0.579858831900022,0.495430566073574,0.663213085703485,11.133049,11.712908,1,1
TWISTNB,-0.449583690747897,0.495499997704151,0.663250829150597,10.818754,11.268338,1,1
ZNF20,-0.379433626005314,0.495591403966825,0.663317977981394,9.595948,9.975381,1,1
LRRN4,-0.339004492303855,0.495772581134667,0.663505258359959,7.049457,7.388461,1,1
OXGR1,0.434029088219864,0.49624181857982,0.664077994012632,11.362771,10.928742,1,1
ZNF473,0.437901436938525,0.496328537517958,0.664138785144662,8.600717,8.162816,1,1
YAE1,-0.567331508081544,0.496459632786732,0.664258941331153,13.565507,14.132838,1,1
CAMSAP1,0.414635688367515,0.496511780565137,0.664273455216242,11.41338,10.998745,1,1
OR14A16,0.365019018838415,0.496649642699661,0.664402632719067,8.232504,7.867485,1,1
PPARA,-0.445202918043215,0.496757761185303,0.664492001904892,10.821515,11.266718,1,1
FIGN,0.46889650946399,0.496928608579486,0.664646716303691,11.773028,11.304132,1,1
HBP1,0.581315279006954,0.496956068780663,0.664646716303691,20.370732,19.789417,1,1
TMEM183A,-0.660570936027543,0.497072314368331,0.664746911474203,20.868253,21.528824,1,1
ENTPD8,0.484709986274545,0.497212069401405,0.664786368616707,11.151399,10.66669,1,1
INTS6,0.568229180866847,0.497232894424804,0.664786368616707,15.245135,14.676906,1,1
SH3RF2,-0.409487067147941,0.497263948480584,0.664786368616707,8.400495,8.809982,1,1
POGLUT3,-0.603051531796504,0.497267147527207,0.664786368616707,15.249766,15.852817,1,1
POLQ,0.512220405461466,0.497355841365901,0.664807382884462,8.287144,7.774923,1,1
CALB1,-0.439616438028272,0.497365533340508,0.664807382884462,10.227027,10.666643,1,1
ASB9,-0.428551070316873,0.497681821829525,0.665058365890975,8.950353,9.378904,1,1
TMEM187,-0.428349313969909,0.497694573784158,0.665058365890975,9.747606,10.175955,1,1
CPTP,0.595996223142826,0.497711617950297,0.665058365890975,17.61812,17.022124,1,1
TARS1,-0.444246661353422,0.497718698721068,0.665058365890975,11.205489,11.649736,1,1
ERICH5,0.410243872182189,0.497845020377198,0.66517189796867,9.908965,9.498721,1,1
UBR5,-0.639081119802949,0.498120661424308,0.66548490060209,18.0557,18.694781,1,1
CLEC4E,-1.14653684686961,0.498256112431628,0.665610574115474,13.214169,14.360706,1,1
WDR43,0.495095032978194,0.498342756280027,0.665656637696079,11.765574,11.270479,1,1
C1orf210,-0.389820520560463,0.498385531421754,0.665656637696079,8.640189,9.03001,1,1
RPL37,5.87811971639653,0.498414753032447,0.665656637696079,180.55814,174.68002,1,1
WDR24,0.426070778142837,0.498499404234188,0.665681954396594,9.269471,8.8434,1,1
PSMA2,-0.56654527521065,0.498516484749252,0.665681954396594,16.728417,17.294962,1,1
TMEM144,-0.411824728696891,0.498614362289949,0.665739119177932,8.203264,8.615088,1,1
HELLS,0.491816080751867,0.498642077141044,0.665739119177932,9.161399,8.669583,1,1
CASC3,-0.703195946127138,0.498934025511815,0.666073611083336,19.543684,20.24688,1,1
DTNBP1,0.511938262209398,0.499025643928608,0.666140630504418,13.022861,12.510923,1,1
BCAS1,-0.421395463817909,0.499075014864078,0.666151248055919,8.844154,9.265549,1,1
ITGB6,0.402281825719627,0.499149485377041,0.666195363273117,7.830366,7.428084,1,1
OR5AS1,0.480965602126986,0.499246414615138,0.666269443467464,9.386337,8.905371,1,1
