,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
60,THBS1_a3b1 complex,THBS1,"['ITGA3', 'ITGB1']",Mast cell,Endothelium,False,NA,NA,0.1153846153846154,True,"[-38.026134707711, -39.6176785934195]","[7.36142244746803e-08, 1.42091864873846e-09]","[1, 1]"
346,CD74_APP,CD74,APP,Distal_tubules_and_collecting_duct,Private,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.19702970297029704
115,TGFB1_TGFBR3,TGFB1,TGFBR3,CD8 T cell,Distal_tubules_and_collecting_duct,False,NA,NA,0.3161290322580645,True,-18.1543589009868,0.0108459579092956,1
480,CD74_APP,CD74,APP,Podocytes,Distal_tubules_and_collecting_duct,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.8896396396396397
199,CD94:NKG2A_HLA-E,"['KLRC1', 'KLRD1']",HLA-E,CD8 T cell,Podocytes,False,NA,NA,"[0.15483870967741936, 0.3290322580645161]",True,-56.6277070258774,0.000458079848881171,1
513,CD74_APP,CD74,APP,Proximal_tubular_cells,Mesangial_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.6186440677966102
1527,LILRA4_BST2,LILRA4,BST2,MNP,Private,False,NA,NA,0.14175824175824175,True,-13.340345767669401,0.00012667437940071398,1
1023,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,Distal_tubules_and_collecting_duct,CD8 T cell,False,NA,NA,0.231981981981982,True,-4.8368024444167315,0.00154622415495639,1
802,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Podocytes,MNP,False,NA,NA,"[0.9845559845559846, 0.5444015444015444]",True,-3.15170077783893,0.00163958384977319,1
1005,SIRPA_CD47,SIRPA,CD47,MNP,MNP,True,-5.34035938616956,0.0190914441331754,1,True,-5.21611639328334,0.00179869684824925,1
191,CD94:NKG2A_HLA-E,"['KLRC1', 'KLRD1']",HLA-E,CD8 T cell,Loop_of_Henle,False,NA,NA,"[0.15483870967741936, 0.3290322580645161]",True,-56.6277070258774,0.000458079848881171,1
1465,HLA-E_KLRK1,HLA-E,KLRK1,Mesangial_cells,NK cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.10039113428943937
1090,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Distal_tubules_and_collecting_duct,Endothelium,False,NA,NA,0.16441441441441446,True,-4.8368024444167315,0.00154622415495639,1
1414,HLA-E_KLRC2,HLA-E,KLRC2,Endothelium,CD8 T cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.10967741935483873
