,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
271,ICAM1_aXb2 complex,ICAM1,"['ITGB2', 'ITGAX']",MNP,MNP,False,NA,NA,0.15604395604395604,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
1268,HLA-E_KLRK1,HLA-E,KLRK1,NK cell,CD8 T cell,False,NA,NA,0.9856584093872228,True,1.6996193448401398,0.0373947054533458,1
166,PLAUR_a4b1 complex,PLAUR,"['ITGB1', 'ITGA4']",Neutrophil,MNP,True,1.83700465330314,0.0297683934149902,1,False,NA,NA,"[0.5747252747252747, 0.3263736263736264]"
739,TNF_TNFRSF1B,TNF,TNFRSF1B,Private,Private,False,NA,NA,0.18811881188118806,True,6.01061393679651,1.97712117390567e-06,1
1356,SELP_SELPLG,SELP,SELPLG,Endothelium,CD8 T cell,False,NA,NA,0.13561076604554864,True,1.65236939315672,0.0310098101938767,1
129,FN1_a4b1 complex,FN1,"['ITGB1', 'ITGA4']",Mesangial_cells,NK cell,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.4928292046936114, 0.3715775749674055]"
1235,HLA-E_KLRC2,HLA-E,KLRC2,Private,NK cell,False,NA,NA,0.9772277227722772,True,3.55694751490934,0.0007746719235593231,1
1266,HLA-E_KLRK1,HLA-E,KLRK1,Mesangial_cells,NK cell,False,NA,NA,0.5847457627118644,True,1.6996193448401398,0.0373947054533458,1
105,FN1_a3b1 complex,FN1,"['ITGA3', 'ITGB1']",Mesangial_cells,Podocytes,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.2432432432432433, 0.5714285714285714]"
43,COL18A1_a1b1 complex,COL18A1,"['ITGA1', 'ITGB1']",B cell,CD8 T cell,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.4645161290322581, 0.41935483870967744]"
182,FN1_a4b7 complex,FN1,"['ITGB7', 'ITGA4']",Endothelium,DC,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.17391304347826084, 0.2608695652173913]"
1200,CD48_CD244,CD48,CD244,MNP,NK cell,True,2.708436272920121,0.00398785903287079,1,False,NA,NA,0.19035202086049546
1220,HLA-E_KLRC2,HLA-E,KLRC2,MNP,NK cell,False,NA,NA,0.9362637362637364,True,3.55694751490934,0.0007746719235593231,1
375,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",Mast cell,CD8 T cell,False,NA,NA,0.15384615384615385,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
221,FN1_aVb5 complex,FN1,"['ITGAV', 'ITGB5']",Distal_tubules_and_collecting_duct,Distal_tubules_and_collecting_duct,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.463963963963964, 0.13963963963963966]"
306,ICAM1_ITGAL,ICAM1,ITGAL,Mast cell,CD8 T cell,False,NA,NA,0.1153846153846154,True,4.76710229557314,1.28565836060683e-08,1
798,CCL3L3_CCR1,CCL3L3,CCR1,CD8 T cell,MNP,False,NA,NA,0.18064516129032254,True,2.89478592916485,3.55986110154396e-05,1
850,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,MNP,MNP,True,2.2879426863802403,0.0497834188612391,1,False,NA,NA,0.4780219780219781
1423,LTBR_LTB,LTBR,LTB,DC,Distal_tubules_and_collecting_duct,False,NA,NA,0.13043478260869565,True,1.43943567105272,0.0402619482825343,1
1424,LTBR_LTB,LTBR,LTB,DC,MNP,False,NA,NA,0.13043478260869565,True,1.43943567105272,0.0402619482825343,1
429,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",B cell,Private,False,NA,NA,0.3648648648648649,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1133,CD55_ADGRE5,CD55,ADGRE5,Podocytes,CD8 T cell,False,NA,NA,0.3552123552123552,True,4.21690878715005,0.00312233850766636,1
1017,CSF1R_CSF1,CSF1R,CSF1,MNP,Endothelium,True,2.2629902320248703,0.00140684730550683,1,False,NA,NA,0.10766045548654243
544,HLA-A_KIR3DL1,HLA-A,KIR3DL1,B cell,NK cell,False,NA,NA,0.972972972972973,True,12.558750138482301,7.46798130740353e-05,1
630,HLA-G_LILRB2,HLA-G,LILRB2,Podocytes,DC,False,NA,NA,0.1583011583011583,True,9.652284919570539,2.2163431871823598e-10,1
1125,CD55_ADGRE5,CD55,ADGRE5,Neutrophil,MNP,False,NA,NA,0.15942028985507245,True,4.21690878715005,0.00312233850766636,1
176,FN1_a4b7 complex,FN1,"['ITGB7', 'ITGA4']",Distal_tubules_and_collecting_duct,NK cell,True,5.7094563491760715,0.0181158810046262,1,False,NA,NA,"[0.2490221642764016, 0.3715775749674055]"
423,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",Private,Private,False,NA,NA,0.30396039603960395,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
1382,CD99_PILRA,CD99,PILRA,Distal_tubules_and_collecting_duct,MNP,True,7.31569349920593,6.5725053149725e-05,1,True,4.28198990333304,4.8230381652453106e-06,1
1458,LTBR_LTB,LTBR,LTB,MNP,Distal_tubules_and_collecting_duct,False,NA,NA,0.2153846153846154,True,1.43943567105272,0.0402619482825343,1
752,DPP4_CXCL12,DPP4,CXCL12,Private,Mesangial_cells,False,NA,NA,0.14158415841584154,True,7.7426278931753885,1.18324783246116e-07,1
1301,SELL_SELPLG,SELL,SELPLG,DC,MNP,False,NA,NA,0.7826086956521741,True,1.65236939315672,0.0310098101938767,1
433,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",CD8 T cell,NK cell,False,NA,NA,0.6064516129032258,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
803,CCL3L3_CCR1,CCL3L3,CCR1,MNP,MNP,False,NA,NA,0.2703296703296703,True,2.89478592916485,3.55986110154396e-05,1
1321,SELL_SELPLG,SELL,SELPLG,NK cell,MNP,False,NA,NA,0.16688396349413298,True,1.65236939315672,0.0310098101938767,1
432,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",CD8 T cell,MNP,False,NA,NA,0.6064516129032258,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
908,TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,Private,Mast cell,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.19230769230769232
915,TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,CD8 T cell,CD8 T cell,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.3161290322580645
6,COL18A1_a10b1 complex,COL18A1,"['ITGA10', 'ITGB1']",B cell,Mesangial_cells,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.1694915254237288, 0.7288135593220338]"
1042,CD55_ADGRE5,CD55,ADGRE5,DC,Distal_tubules_and_collecting_duct,False,NA,NA,0.6521739130434783,True,4.21690878715005,0.00312233850766636,1
401,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",Nephron_epithelium,CD8 T cell,False,NA,NA,0.13396111786148238,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
948,CXCL12_CXCR4,CXCL12,CXCR4,Loop_of_Henle,Mesangial_cells,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.15254237288135594
504,ICAM3_aLb2 complex,ICAM3,"['ITGB2', 'ITGAL']",Proximal_tubular_cells,CD8 T cell,False,NA,NA,0.19254658385093168,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
